State,Full_State,Year,Overall_Homeless,Total_Population,Percent_Homeless
HI,Hawaii,2017,7220,1424393,0.51
IA,Iowa,2017,2756,3141550,0.09
ID,Idaho,2017,2037,1717715,0.12
IL,Illinois,2017,10798,12778828,0.08
IN,Indiana,2017,5438,6658078,0.08
KS,Kansas,2017,2287,2908718,0.08
KY,Kentucky,2017,4025,4452268,0.09
LA,Louisiana,2017,3305,4670560,0.07
MA,Massachusetts,2017,17565,6859789,0.26
MD,Maryland,2017,7247,6023868,0.12
ME,Maine,2017,2280,1334612,0.17
MI,Michigan,2017,9051,9973114,0.09
MN,Minnesota,2017,7668,5566230,0.14
MO,Missouri,2017,6037,6106670,0.1
MS,Mississippi,2017,1472,2988510,0.05
MT,Montana,2017,1529,1052482,0.15
NC,North Carolina,2017,8962,10268233,0.09
ND,North Dakota,2017,1089,754942,0.14
NE,Nebraska,2017,2501,1915947,0.13
NH,New Hampshire,2017,1456,1348787,0.11
NJ,New Jersey,2017,8536,8885525,0.1
NM,New Mexico,2017,2482,2091784,0.12
NV,Nevada,2017,7833,2969905,0.26
NY,New York,2017,89503,19589572,0.46
OH,Ohio,2017,10095,11659650,0.09
OK,Oklahoma,2017,4199,3931316,0.11
OR,Oregon,2017,13953,4143625,0.34
PA,Pennsylvania,2017,14138,12787641,0.11
RI,Rhode Island,2017,1180,1055673,0.11
SC,South Carolina,2017,3916,5021268,0.08
SD,South Dakota,2017,943,872868,0.11
TN,Tennessee,2017,8309,6708799,0.12
TX,Texas,2017,23548,28295273,0.08
UT,Utah,2017,2852,3101042,0.09
VA,Virginia,2017,6067,8463587,0.07
VT,Vermont,2017,1225,624344,0.2
WA,Washington,2017,21112,7423362,0.28
WI,Wisconsin,2017,5027,5790186,0.09
WV,West Virginia,2017,1309,1817004,0.07
WY,Wyoming,2017,873,578931,0.15
AK,Alaska,2018,2016,735139,0.27
AL,Alabama,2018,3434,4887681,0.07
AR,Arkansas,2018,2712,3009733,0.09
AZ,Arizona,2018,9865,7158024,0.14
CA,California,2018,129972,39461588,0.33
CO,Colorado,2018,10857,5691287,0.19
CT,Connecticut,2018,3976,3571520,0.11
DE,Delaware,2018,1082,965479,0.11
FL,Florida,2018,31030,21244317,0.15
GA,Georgia,2018,9499,10511131,0.09
HI,Hawaii,2018,6530,1420593,0.46
IA,Iowa,2018,2749,3148618,0.09
ID,Idaho,2018,2012,1750536,0.11
IL,Illinois,2018,10643,12723071,0.08
IN,Indiana,2018,5258,6695497,0.08
KS,Kansas,2018,2216,2911359,0.08
KY,Kentucky,2018,3688,4461153,0.08
LA,Louisiana,2018,3059,4659690,0.07
MA,Massachusetts,2018,20068,6882635,0.29
MD,Maryland,2018,7144,6035802,0.12
ME,Maine,2018,2516,1339057,0.19
MI,Michigan,2018,8351,9984072,0.08
MN,Minnesota,2018,7243,5606249,0.13
MO,Missouri,2018,5883,6121623,0.1
MS,Mississippi,2018,1352,2981020,0.05
MT,Montana,2018,1405,1060665,0.13
NC,North Carolina,2018,9268,10381615,0.09
ND,North Dakota,2018,542,758080,0.07
NE,Nebraska,2018,2421,1925614,0.13
NH,New Hampshire,2018,1450,1353465,0.11
NJ,New Jersey,2018,9398,8886025,0.11
NM,New Mexico,2018,2551,2092741,0.12
NV,Nevada,2018,7544,3027341,0.25
NY,New York,2018,91897,19530351,0.47
OH,Ohio,2018,10249,11676341,0.09
OK,Oklahoma,2018,3871,3940235,0.1
OR,Oregon,2018,14476,4181886,0.35
PA,Pennsylvania,2018,13512,12800922,0.11
RI,Rhode Island,2018,1101,1058287,0.1
SC,South Carolina,2018,3933,5084156,0.08
SD,South Dakota,2018,1159,878698,0.13
TN,Tennessee,2018,7883,6771631,0.12
TX,Texas,2018,25310,28628666,0.09
UT,Utah,2018,2876,3153550,0.09
VA,Virginia,2018,5975,8501286,0.07
VT,Vermont,2018,1291,624358,0.21
WA,Washington,2018,22304,7523869,0.3
WI,Wisconsin,2018,4907,5807406,0.08
WV,West Virginia,2018,1243,1804291,0.07
WY,Wyoming,2018,639,577601,0.11
AK,Alaska,2019,1907,731545,0.26
AL,Alabama,2019,3261,4903185,0.07
AR,Arkansas,2019,2717,3017804,0.09
AZ,Arizona,2019,10007,7278717,0.14
CA,California,2019,151278,39512223,0.38
CO,Colorado,2019,9619,5758736,0.17
CT,Connecticut,2019,3033,3565287,0.09
DE,Delaware,2019,921,973764,0.09
