State,Number of CoCs,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered SH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered SH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Sheltered SH Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered SH Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year
OK,8,4625,2062,867,59,2988,1637,3236,1554,457,59,2070,1166,1389,508,410,918,471,469,176,135,311,158,19,568,288,19,307,261,356,301,55,2011
OR,7,17254,2555,4418,39,7012,10242,9445,1577,1633,39,3249,6196,7809,978,2785,3763,4046,2623,327,915,1242,1381,39,3017,665,39,704,2313,1474,655,819,2011
PA,18,15096,7387,6484,165,14036,1060,7867,4504,2203,165,6872,995,7229,2883,4281,7164,65,2396,950,1423,2373,23,144,1508,794,144,938,570,1392,1262,130,2011
RI,1,1070,680,338,21,1039,31,652,485,115,21,621,31,418,195,223,418,0,137,62,75,137,0,14,176,157,14,171,5,123,121,2,2011
SC,4,5093,1554,1388,12,2954,2139,3505,1210,745,12,1967,1538,1588,344,643,987,601,527,125,222,347,180,12,504,217,12,229,275,612,389,223,2011
SD,1,826,371,391,0,762,64,460,218,195,0,413,47,366,153,196,349,17,123,52,67,119,4,0,34,21,0,21,13,109,99,10,2011
TN,10,9113,3007,2888,20,5915,3198,6475,2322,1896,20,4238,2237,2638,685,992,1677,961,910,216,323,539,371,18,1661,810,18,828,833,965,732,233,2011
TX,16,36911,10027,8788,157,18972,17939,23577,6226,4024,157,10407,13170,13334,3801,4764,8565,4769,4357,1418,1488,2906,1451,61,7390,2634,61,2695,4695,4891,2365,2526,2011
UT,3,3130,1506,1133,48,2687,443,1842,948,438,48,1434,408,1288,558,695,1253,35,389,166,215,381,8,48,364,217,48,265,99,345,310,35,2011
VA,20,8816,4395,2928,63,7386,1430,5231,2926,1028,63,4017,1214,3585,1469,1900,3369,216,1145,477,607,1084,61,43,1571,930,43,973,598,931,768,163,2011
